Website URL,"סה""כ הון","סה""כ הון והתחייבויות",הכנסות,רווח גולמי,רווח (הפסד) לפני מס, רווח (הפסד),מספר ברשם,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 23,company number,Company Name,Report Type,Symbol,Links,Found HTM Link 1,Found HTM Link 2,Note,Found HTM Link 3
https://mayafiles.tase.co.il/RHtm/1373001-1374000/H1373566.htm,"25,098","167,237","13,272",915,"-2,267","-1,674","-1,674",0,-1.67,-1.67,"-1,674",0,"-14,397","-18,824","35,687",0,0,"2,466","4,115","6,581","אב-גד החזקות בע""מ",514091685.00,אב-גד,רבעון 1 2021,1829,reports/details/1373566/1/0,https://mayafiles.tase.co.il/RHtm/1373001-1374000/H1373566.htm,https://mayafiles.tase.co.il/RHtm/1373001-1374000/H1373566.htm,,
https://mayafiles.tase.co.il/RHtm/1453001-1454000/H1453010.htm,"54,762","227,818","35,049","4,894",304,106,106,0,0.001,0.001,106,0,"26,922","-26,949",-823,0,0,-850,"19,546","18,696","אב-גד החזקות בע""מ",514091685.00,אב-גד,רבעון 1 2022,1829,reports/details/1453010/1/0,https://mayafiles.tase.co.il/RHtm/1453001-1454000/H1453010.htm,https://mayafiles.tase.co.il/RHtm/1453001-1454000/H1453010.htm,,
https://mayafiles.tase.co.il/RHtm/1452001-1453000/H1452871.htm,"54,762","227,818","35,049","4,894",304,106,106,0,0.001,0.001,106,0,"26,922","-26,949",-823,0,0,-850,"19,546","18,696","אב-גד החזקות בע""מ",514091685.00,אב-גד,רבעון 1 2022,1829,reports/details/1452871/1/0,https://mayafiles.tase.co.il/RHtm/1452001-1453000/H1452871.htm,https://mayafiles.tase.co.il/RHtm/1452001-1453000/H1452871.htm,,
https://mayafiles.tase.co.il/RHtm/1524001-1525000/H1524135.htm,"70,835","212,872","27,232","4,542",210,-41,-41,0,0,0,-41,0,"-18,915","19,086","-14,985",0,0,"-14,814","31,179","16,365","אב-גד החזקות בע""מ",514091685.00,אב-גד,רבעון 1 2023,1829,reports/details/1524135/1/0,https://mayafiles.tase.co.il/RHtm/1524001-1525000/H1524135.htm,https://mayafiles.tase.co.il/RHtm/1524001-1525000/H1524135.htm,,
https://mayafiles.tase.co.il/RHtm/1396001-1397000/H1396873.htm,"55,358","186,671","21,435","3,625",324,235,235,0,0.002,0.002,235,0,"-5,033","-2,023","17,340",0,0,"10,284","6,581","16,865","אב-גד החזקות בע""מ",514091685.00,אב-גד,רבעון 2 2021,1829,reports/details/1396873/1/0,https://mayafiles.tase.co.il/RHtm/1396001-1397000/H1396873.htm,https://mayafiles.tase.co.il/RHtm/1396001-1397000/H1396873.htm,,
https://mayafiles.tase.co.il/RHtm/1473001-1474000/H1473223.htm,"54,981","231,640","30,287","3,834",113,-217,-217,0,-0.002,-0.002,-217,0,"17,475","-19,450","-6,922",0,0,"-8,897","18,696","9,799","אב-גד החזקות בע""מ",514091685.00,אב-גד,רבעון 2 2022,1829,reports/details/1473223/1/0,https://mayafiles.tase.co.il/RHtm/1473001-1474000/H1473223.htm,https://mayafiles.tase.co.il/RHtm/1473001-1474000/H1473223.htm,,
https://mayafiles.tase.co.il/RHtm/1544001-1545000/H1544124.htm,"70,258","247,416","26,204","3,658",-449,-577,-577,0,-0.03,-0.03,-577,0,"-17,239","-31,713","44,250",0,0,"-4,702","16,365","11,663","אב-גד החזקות בע""מ",514091685.00,אב-גד,רבעון 2 2023,1829,reports/details/1544124/1/0,https://mayafiles.tase.co.il/RHtm/1544001-1545000/H1544124.htm,https://mayafiles.tase.co.il/RHtm/1544001-1545000/H1544124.htm,,
https://mayafiles.tase.co.il/RHtm/1413001-1414000/H1413401.htm,"54,879","192,296","27,251","3,900",-546,-393,-393,0,-0.002,-0.002,-393,0,"-6,787","4,459","-5,696",0,0,"-8,024","16,865","8,841","אב-גד החזקות בע""מ",514091685.00,אב-גד,רבעון 3 2021,1829,reports/details/1413401/1/0,https://mayafiles.tase.co.il/RHtm/1413001-1414000/H1413401.htm,https://mayafiles.tase.co.il/RHtm/1413001-1414000/H1413401.htm,,
https://mayafiles.tase.co.il/RHtm/1487001-1488000/H1487537.htm,"55,500","235,498","30,501","5,033",97,-144,-144,0,-0.001,-0.001,-144,0,"-2,312","6,378","7,405",0,0,"11,471","9,799","21,270","אב-גד החזקות בע""מ",514091685.00,אב-גד,רבעון 3 2022,1829,reports/details/1487537/1/0,https://mayafiles.tase.co.il/RHtm/1487001-1488000/H1487537.htm,https://mayafiles.tase.co.il/RHtm/1487001-1488000/H1487537.htm,,
https://mayafiles.tase.co.il/RHtm/1362001-1363000/H1362171.htm,"26,772","89,520","93,089","12,125",665,357,-205,562,0,0,-205,562,333,"-3,988","3,401",0,0,-254,"4,369","4,115","אב-גד החזקות בע""מ",514091685.00,אב-גד,שנתי 2020,1829,reports/details/1362171/1/0,https://mayafiles.tase.co.il/RHtm/1362001-1363000/H1362171.htm,https://mayafiles.tase.co.il/RHtm/1362001-1363000/H1362171.htm,,
